start	type	end
4242	1	4853
4242	1	4854
4242	1	4855
5986	1	4851
5986	1	4853
5986	1	4854
5986	1	4855
4851	1	11317
4851	1	3516
4853	1	11317
4853	1	3516
4854	1	11317
4854	1	3516
4855	1	11317
4855	1	3516
1387	1	11317
1387	1	3516
2033	1	11317
2033	1	3516
2648	1	11317
2648	1	3516
8850	1	11317
8850	1	3516
55534	1	11317
55534	1	3516
84441	1	11317
84441	1	3516
9794	1	11317
9794	1	3516
3549	1	5727
50846	1	5727
6469	1	5727
6608	1	51684
6608	1	27148
151449	1	269
151449	1	659
268	1	659
353500	1	269
353500	1	659
392255	1	269
392255	1	659
650	1	269
652	1	269
652	1	659
653	1	269
653	1	659
654	1	269
654	1	659
655	1	269
655	1	659
656	1	269
656	1	659
8200	1	269
8200	1	659
4838	1	92
4838	1	93
4086	1	4089
4090	1	4089
4093	1	4089
4087	1	4089
4088	1	4089
4089	1	7027
4089	1	1874
4089	1	1875
4089	1	5933
4089	1	5934
4087	1	7027
4087	1	1874
4087	1	1875
4087	1	5933
4087	1	5934
4088	1	7027
4088	1	1874
4088	1	1875
4088	1	5933
4088	1	5934
4089	1	6667
4089	1	1387
4089	1	2033
4087	1	6667
4087	1	1387
4087	1	2033
4088	1	6667
4088	1	1387
4088	1	2033
7048	1	387
7048	1	5515
7048	1	5516
7048	1	5518
7048	1	5519
9423	1	1630
1630	1	4690
4690	1	5879
4690	1	5880
4690	1	5881
5879	1	22885
5879	1	3983
5879	1	84448
5880	1	22885
5880	1	3983
5880	1	84448
5881	1	22885
5881	1	3983
5881	1	84448
9423	1	137970
9423	1	219699
9423	1	8633
9423	1	90249
1942	1	5921
1943	1	5921
1944	1	5921
1945	1	5921
1946	1	5921
1942	1	2534
1943	1	2534
1944	1	2534
1945	1	2534
1946	1	2534
1947	1	8440
1948	1	8440
1949	1	8440
8440	1	5747
1942	1	1969
1942	1	2041
1942	1	2042
1942	1	2043
1942	1	2044
1942	1	2045
1942	1	2046
1942	1	285220
1943	1	1969
1943	1	2041
1943	1	2042
1943	1	2043
1943	1	2044
1943	1	2045
1943	1	2046
1943	1	285220
1944	1	1969
1944	1	2041
1944	1	2042
1944	1	2043
1944	1	2044
1944	1	2045
1944	1	2046
1944	1	285220
1945	1	1969
1945	1	2041
1945	1	2042
1945	1	2043
1945	1	2044
1945	1	2045
1945	1	2046
1945	1	285220
1946	1	1969
1946	1	2041
1946	1	2042
1946	1	2043
1946	1	2044
1946	1	2045
1946	1	2046
1946	1	285220
2047	1	1947
2047	1	1948
2047	1	1949
2048	1	1947
2048	1	1948
2048	1	1949
2049	1	1947
2049	1	1948
2049	1	1949
2050	1	1947
2050	1	1948
2050	1	1949
2051	1	1947
2051	1	1948
2051	1	1949
1969	1	25
2041	1	25
2042	1	25
2043	1	25
2044	1	25
2045	1	25
2046	1	25
285220	1	25
2047	1	25
2048	1	25
2049	1	25
2050	1	25
2051	1	25
1969	1	25791
2041	1	25791
2042	1	25791
2043	1	25791
2044	1	25791
2045	1	25791
2046	1	25791
285220	1	25791
25791	1	387
5879	1	10298
5879	1	5063
5879	1	56924
5879	1	57144
5880	1	10298
5880	1	5063
5880	1	56924
5880	1	57144
5881	1	10298
5881	1	5063
5881	1	56924
5881	1	57144
998	1	10298
998	1	5063
998	1	56924
998	1	57144
1969	1	5921
2041	1	5921
2042	1	5921
2043	1	5921
2044	1	5921
2045	1	5921
2046	1	5921
285220	1	5921
2047	1	5921
2048	1	5921
2049	1	5921
2050	1	5921
2051	1	5921
7852	1	2770
7852	1	2771
7852	1	2773
6585	1	6092
6585	1	6091
9353	1	6092
9353	1	6091
6092	1	23380
6092	1	57522
6092	1	9901
6091	1	23380
6091	1	57522
6091	1	9901
10371	1	8829
10512	1	8829
223117	1	8829
56920	1	8829
6405	1	8829
